City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Aldan,RU,58.6031,125.3894,57.2,95,54,0.78,broken clouds
80,Broken Hill,AU,-31.95,141.4333,45.57,86,18,10.49,few clouds
81,Bredasdorp,ZA,-34.5322,20.0403,47.88,87,100,1.86,overcast clouds
82,Gasa,PS,31.5,34.4667,75.88,76,5,3.71,clear sky
83,Castro,BR,-24.7911,-50.0119,67.08,72,39,4.23,scattered clouds
84,Benguela,AO,-12.5763,13.4055,68.0,84,74,1.68,broken clouds
85,Edissiya,RU,44.0511,44.5408,71.53,62,90,8.97,overcast clouds
86,Sao Filipe,CV,14.8961,-24.4956,75.47,85,95,7.94,overcast clouds
87,Te Anau,NZ,-45.4167,167.7167,33.42,95,48,1.28,scattered clouds
88,Natal,BR,-5.795,-35.2094,77.65,88,75,5.75,moderate rain
89,Salina Cruz,MX,16.1667,-95.2,89.73,57,94,8.63,overcast clouds
90,Labuhan,ID,-6.8844,112.2051,75.51,83,95,9.66,overcast clouds
91,Khatanga,RU,71.9667,102.5,50.09,84,100,13.53,overcast clouds
92,Krasnoarmeysk,RU,51.0239,45.6969,58.08,77,1,3.49,clear sky
93,Deputatskiy,RU,69.3,139.9,41.92,81,4,5.12,clear sky
94,Carnarvon,AU,-24.8667,113.6333,63.09,71,54,16.64,broken clouds
95,East London,ZA,-33.0153,27.9116,59.99,72,4,4.63,clear sky
96,Tuatapere,NZ,-46.1333,167.6833,43.75,90,99,1.48,overcast clouds
97,Butaritari,KI,3.0707,172.7902,80.22,77,95,4.68,moderate rain
98,Chuy,UY,-33.6971,-53.4616,54.68,89,99,6.38,overcast clouds
99,Busselton,AU,-33.65,115.3333,57.74,77,62,10.85,broken clouds
100,Padang,ID,-0.9492,100.3543,77.05,88,81,3.87,broken clouds
101,Okha,RU,53.5739,142.9478,54.55,93,100,11.03,overcast clouds
102,Hambantota,LK,6.1241,81.1185,79.27,81,99,19.3,moderate rain
103,San Cristobal,VE,7.7669,-72.225,77.18,57,77,6.91,broken clouds
104,Beloha,MG,-25.1667,45.05,64.47,87,3,5.55,clear sky
105,Thompson,CA,55.7435,-97.8558,62.76,77,75,3.44,broken clouds
106,Resen,MK,41.0889,21.0122,68.25,52,0,4.34,clear sky
107,Srednekolymsk,RU,67.45,153.6833,48.04,51,0,8.61,clear sky
108,Souillac,MU,-20.5167,57.5167,69.69,69,90,17.98,overcast clouds
109,Tabory,RU,58.5198,64.5495,53.4,96,6,5.1,clear sky
110,Uyuni,BO,-20.4597,-66.825,56.43,17,95,13.94,overcast clouds
111,Tupik,RU,54.4253,119.9327,59.65,95,55,0.74,broken clouds
112,Sinjai,ID,-5.1241,120.253,74.71,94,95,3.51,overcast clouds
113,Bethel,US,41.3712,-73.414,94.35,67,20,13.8,few clouds
114,Wasilla,US,61.5814,-149.4394,55.02,89,100,5.75,light rain
115,Ferme-Neuve,CA,46.7001,-75.4493,74.8,78,90,10.89,light rain
116,Vila Velha,BR,-20.3297,-40.2925,73.35,87,40,6.91,scattered clouds
117,Sarmanovo,RU,55.2553,52.5891,65.08,80,49,2.77,scattered clouds
118,Mulchen,CL,-37.7167,-72.2333,54.41,86,100,3.71,overcast clouds
119,Araguacu,BR,-12.9306,-49.8264,91.17,23,6,6.38,clear sky
120,Mayumba,GA,-3.432,10.6554,70.56,94,59,7.49,broken clouds
121,Punta Arenas,CL,-53.15,-70.9167,35.62,80,40,26.46,scattered clouds
122,Mardan,PK,34.2019,72.0525,82.17,72,99,4.34,overcast clouds
123,Faanui,PF,-16.4833,-151.75,77.54,73,11,12.97,few clouds
124,Tasiilaq,GL,65.6145,-37.6368,41.16,78,85,2.53,overcast clouds
125,Veydelevka,RU,50.1521,38.4492,56.12,96,46,6.76,scattered clouds
126,Talnakh,RU,69.4865,88.3972,52.93,88,12,6.42,few clouds
127,Rocha,UY,-34.4833,-54.3333,53.56,83,100,7.4,overcast clouds
128,Champerico,GT,14.3,-91.9167,85.75,66,100,6.13,overcast clouds
129,Lebu,CL,-37.6167,-73.65,53.13,81,98,9.6,overcast clouds
130,Bulaevo,KZ,54.9056,70.4439,58.37,89,87,12.44,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,71.51,80,2,13.89,clear sky
132,Namatanai,PG,-3.6667,152.4333,78.58,81,64,6.02,broken clouds
133,Ostrovnoy,RU,68.0531,39.5131,53.76,81,99,5.95,overcast clouds
134,Barrow,US,71.2906,-156.7887,44.62,76,0,26.46,clear sky
135,Flinders,AU,-34.5833,150.8552,56.37,86,98,5.99,light rain
136,Tome,CL,-36.6167,-72.95,54.52,79,67,5.48,broken clouds
137,Dakoro,NE,14.5106,6.765,87.75,41,88,7.38,light rain
138,Bluff,NZ,-46.6,168.3333,37.8,85,80,10.22,broken clouds
139,Esperance,AU,-33.8667,121.9,53.89,82,72,18.43,broken clouds
140,Tecoanapa,MX,16.5167,-98.75,86.05,71,44,9.73,scattered clouds
141,Kodiak,US,57.79,-152.4072,54.91,88,100,6.91,overcast clouds
142,Bairiki,KI,1.3292,172.9752,80.6,83,75,3.44,broken clouds
143,Atuona,PF,-9.8,-139.0333,77.58,72,16,15.61,few clouds
144,Oktyabrskiy,RU,54.4815,53.471,60.66,75,100,2.82,overcast clouds
145,Tecpan,GT,14.7623,-90.9947,63.9,68,100,4.88,overcast clouds
146,Muzhi,RU,65.3667,64.6667,48.33,58,3,10.42,clear sky
147,Muisne,EC,0.6,-80.0333,74.28,82,100,11.12,overcast clouds
148,Morro Bay,US,35.3658,-120.8499,102.38,59,53,10.0,broken clouds
149,Port Alfred,ZA,-33.5906,26.891,58.32,70,0,3.44,clear sky
150,Leshukonskoye,RU,64.8989,45.7622,55.63,80,6,5.32,clear sky
151,Aksu,CN,41.1231,80.2644,79.36,26,0,5.79,clear sky
152,Qaanaaq,GL,77.484,-69.3632,44.28,74,100,8.55,overcast clouds
153,Quipot,PH,13.9317,121.3158,76.68,96,95,2.35,overcast clouds
154,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,5.75,broken clouds
155,Ancud,CL,-41.8697,-73.8203,41.23,91,100,10.49,light rain
156,San Policarpo,PH,12.1791,125.5072,81.91,81,99,7.52,overcast clouds
157,Muros,ES,42.7762,-9.0603,69.1,82,93,14.7,overcast clouds
158,Cabatuan,PH,10.8794,122.486,76.89,92,99,6.93,overcast clouds
159,Lata,PT,40.1629,-8.3327,66.58,73,66,4.81,broken clouds
160,Linguere,SN,15.3953,-15.1193,90.32,50,98,6.38,light rain
161,Lujan,AR,-34.5703,-59.105,67.01,50,96,1.99,overcast clouds
162,West Wendover,US,40.7391,-114.0733,96.01,19,0,9.22,clear sky
163,Ponta Do Sol,PT,32.6667,-17.1,74.71,80,3,7.29,clear sky
164,Sinnamary,GF,5.3833,-52.95,81.63,76,20,8.7,few clouds
165,Port Elizabeth,ZA,-33.918,25.5701,56.03,75,0,3.33,clear sky
166,Bambous Virieux,MU,-20.3428,57.7575,69.22,69,94,20.11,light rain
167,Laguna,US,38.421,-121.4238,99.32,30,0,6.91,clear sky
168,Novoagansk,RU,61.9449,76.6625,55.17,69,100,8.84,overcast clouds
169,Dikson,RU,73.5069,80.5464,43.16,95,100,20.0,light rain
170,Graham,US,47.0529,-122.2943,81.59,56,0,0.0,clear sky
171,Djenne,ML,13.9061,-4.5533,87.17,53,100,9.44,overcast clouds
172,Kaduy,RU,59.2,37.15,62.01,74,100,4.79,overcast clouds
173,Ibra,OM,22.6906,58.5334,86.11,64,89,8.93,overcast clouds
174,Hasaki,JP,35.7333,140.8333,77.4,92,100,17.18,overcast clouds
175,Douala,CM,4.0483,9.7043,74.46,92,96,3.36,light rain
176,High Level,CA,58.5169,-117.136,55.96,93,100,6.96,light rain
177,Waipawa,NZ,-41.4122,175.5153,44.42,73,100,14.12,overcast clouds
178,Dzhebariki-Khaya,RU,62.2167,135.8,67.62,67,61,4.0,broken clouds
179,Lukulu,ZM,-14.3707,23.242,71.62,33,99,8.97,overcast clouds
180,Biak,ID,-0.9131,122.8766,74.95,88,25,6.62,scattered clouds
181,Noshiro,JP,40.2039,140.0242,69.78,84,100,4.03,overcast clouds
182,Sisimiut,GL,66.9395,-53.6735,48.27,85,100,17.56,overcast clouds
183,Price,US,39.5994,-110.8107,94.26,11,20,17.27,few clouds
184,Tiksi,RU,71.6872,128.8694,40.84,84,82,10.07,broken clouds
185,Pacific Grove,US,36.6177,-121.9166,79.25,86,75,9.22,haze
186,Buala,SB,-8.145,159.5921,79.12,84,100,4.65,light rain
187,Hithadhoo,MV,-0.6,73.0833,80.64,73,99,5.99,light rain
188,Naze,JP,28.3667,129.4833,80.89,88,14,13.98,few clouds
189,Palu,ID,-0.8917,119.8707,75.43,95,83,3.65,broken clouds
190,Launceston,AU,-41.45,147.1667,41.34,89,40,6.91,scattered clouds
191,Barcelona,ES,41.3888,2.159,86.14,73,0,8.05,clear sky
192,Alekseyevskoye,RU,55.3071,50.1135,60.8,82,91,7.47,overcast clouds
193,Okhotsk,RU,59.3833,143.3,57.27,90,100,3.78,overcast clouds
194,Kyabe,TD,9.4515,18.9449,76.24,77,66,1.63,broken clouds
195,Mahebourg,MU,-20.4081,57.7,69.26,69,90,20.0,overcast clouds
196,Pa Daet,TH,19.5049,99.9924,74.16,96,100,2.15,overcast clouds
197,Richards Bay,ZA,-28.783,32.0377,64.6,91,53,5.12,broken clouds
198,Matagalpa,NI,12.9256,-85.9175,81.95,58,40,9.33,scattered clouds
199,Wyszkow,PL,52.5928,21.4584,79.14,52,22,4.54,few clouds
200,Qunduz,AF,36.729,68.857,90.86,14,0,3.78,clear sky
201,Alugan,PH,12.2188,125.4808,81.18,83,100,7.02,overcast clouds
202,Grimshaw,CA,56.1834,-117.6027,71.78,41,70,16.37,broken clouds
203,Imbituba,BR,-28.24,-48.6703,74.86,79,24,13.69,few clouds
204,Maridi,SS,4.9158,29.4742,66.74,96,100,2.37,overcast clouds
205,Pisco,PE,-13.7,-76.2167,64.45,68,0,9.22,clear sky
206,Chapleau,CA,47.8405,-83.4034,74.52,56,100,11.99,overcast clouds
207,Vallenar,CL,-28.5708,-70.7581,66.52,57,0,5.59,clear sky
208,Port Blair,IN,11.6667,92.75,79.41,87,100,6.71,overcast clouds
209,Maiduguri,NG,11.8464,13.1603,82.98,55,96,5.64,overcast clouds
210,Ciudad Del Maiz,MX,22.4,-99.6,89.11,29,24,11.86,few clouds
211,Luanda,AO,-8.8368,13.2343,67.62,88,48,12.95,scattered clouds
212,Port Moresby,PG,-9.4431,147.1797,75.78,88,48,3.6,scattered clouds
213,Kieta,PG,-6.2167,155.6333,77.85,80,97,1.54,overcast clouds
214,State College,US,40.7934,-77.86,89.26,51,40,14.0,scattered clouds
215,Dudinka,RU,69.4058,86.1778,49.51,86,40,5.17,scattered clouds
216,Nizhniy Tsasuchey,RU,50.5167,115.1333,66.94,70,74,6.67,broken clouds
217,Bluefields,NI,12.0137,-83.7635,84.42,66,99,7.38,overcast clouds
218,Doha,QA,25.2867,51.5333,95.31,81,0,6.91,clear sky
219,Cayenne,GF,4.9333,-52.3333,86.04,7,25,8.05,scattered clouds
220,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,100,8.05,light rain
221,Grindavik,IS,63.8424,-22.4338,52.27,93,100,8.05,overcast clouds
222,Lagoa,PT,39.05,-27.9833,72.77,84,94,5.21,overcast clouds
223,Gat,IL,31.61,34.7642,79.81,100,5,2.48,clear sky
224,Geraldton,AU,-28.7667,114.6,52.21,93,75,9.22,broken clouds
225,Victoria,HK,22.2855,114.1577,86.18,80,0,4.0,clear sky
226,Istanbul,TR,41.0351,28.9833,74.62,78,0,12.66,clear sky
227,Skjervoy,NO,70.0311,20.9714,53.6,93,100,4.03,overcast clouds
228,Norman Wells,CA,65.282,-126.8329,73.85,47,27,4.29,scattered clouds
229,Severo-Kurilsk,RU,50.6789,156.125,53.67,96,100,26.17,moderate rain
230,Kruisfontein,ZA,-34.0033,24.7314,50.31,86,0,3.22,clear sky
231,Forbes,AU,-33.3833,148.0167,46.35,87,15,6.91,few clouds
232,Matagami,CA,49.7502,-77.6328,64.51,94,100,10.36,light rain
233,Avarua,CK,-21.2078,-159.775,69.85,83,75,14.97,light rain
234,Rafraf,TN,37.1904,10.1837,80.91,70,0,9.1,clear sky
235,Port Lincoln,AU,-34.7333,135.8667,54.55,71,100,20.31,overcast clouds
236,Mountain Home,US,43.133,-115.6912,96.87,10,1,5.5,clear sky
237,Gazanjyk,TM,39.2446,55.5154,83.44,58,0,9.17,clear sky
238,Glossa,GR,35.4717,23.7763,80.1,52,0,5.97,clear sky
239,Mapiri,BO,-15.25,-68.1667,85.82,42,49,2.75,scattered clouds
240,Abu Samrah,SY,35.3029,37.1841,77.14,53,0,11.86,clear sky
241,The Valley,AI,18.217,-63.0578,86.83,66,20,18.41,few clouds
242,Tabatinga,BR,-4.2525,-69.9381,80.6,74,40,6.91,thunderstorm
243,Saskylakh,RU,71.9167,114.0833,47.44,75,100,7.72,overcast clouds
244,Airai,TL,-8.9266,125.4092,54.88,92,99,3.6,overcast clouds
245,Mucurapo,TT,10.6667,-61.5333,85.24,88,24,13.33,few clouds
246,Hailar,CN,49.2,119.7,66.04,68,8,2.8,clear sky
247,Freiberg,DE,50.9167,13.3667,69.98,49,63,7.74,broken clouds
248,Shihezi,CN,44.3,86.0333,74.48,25,0,4.25,clear sky
249,Jackson,US,42.4165,-122.8345,94.75,22,0,5.01,clear sky
250,Constitucion,CL,-35.3333,-72.4167,59.05,71,3,9.35,clear sky
251,Krasnovishersk,RU,60.4078,57.082,59.02,85,100,2.33,overcast clouds
252,Colac,AU,-38.3333,143.5833,51.08,87,4,6.44,clear sky
253,Leningradskiy,RU,69.3833,178.4167,34.63,99,100,11.1,light snow
254,Udachnyy,RU,66.4167,112.4,50.22,96,100,1.41,light rain
255,Sola,VU,-13.8833,167.55,80.22,81,58,17.58,broken clouds
256,Karratha,AU,-20.7377,116.8463,69.19,87,0,7.52,clear sky
257,Loubomo,CG,-4.1997,12.6739,70.48,79,31,7.43,scattered clouds
258,Eisiskes,LT,54.1667,25.0,64.51,91,8,5.37,clear sky
259,Quatre Cocos,MU,-20.2078,57.7625,69.1,70,93,20.2,light rain
260,Touros,BR,-5.1989,-35.4608,78.49,77,100,10.94,overcast clouds
261,Russell,US,32.3502,-85.1999,90.97,62,20,8.05,few clouds
262,Nabire,ID,-3.3667,135.4833,75.34,89,26,2.68,scattered clouds
263,Suntar,RU,62.1444,117.6319,56.12,97,100,1.54,overcast clouds
264,Ampanihy,MG,-24.7,44.75,63.75,77,19,7.18,few clouds
265,Glendive,US,47.1053,-104.7125,92.82,25,0,14.97,clear sky
266,Mbandaka,CD,0.0487,18.2603,74.41,79,72,2.24,broken clouds
267,Vuktyl,RU,63.8567,57.3094,57.4,62,49,6.22,scattered clouds
268,Wadi Musa,JO,30.3222,35.4793,68.32,71,0,5.14,clear sky
269,Tiznit,MA,29.5833,-9.5,91.35,20,55,2.44,broken clouds
270,Porbandar,IN,21.6422,69.6093,82.18,81,100,16.89,overcast clouds
271,Surt,LY,31.2089,16.5887,79.57,64,0,10.36,clear sky
272,Maple Creek,CA,49.9168,-109.4848,84.92,23,2,9.66,clear sky
273,Wicklow,IE,53.0,-6.4167,57.02,81,100,1.95,overcast clouds
274,Wolsztyn,PL,52.1155,16.1171,72.91,85,92,5.32,overcast clouds
275,Adrar,MR,20.5022,-10.0711,93.88,31,84,4.18,broken clouds
276,Porto Novo,BJ,6.4965,2.6036,75.45,79,29,8.55,scattered clouds
277,Lixourion,GR,38.2019,20.4314,82.4,51,0,8.05,clear sky
278,Wanning,CN,18.8003,110.3967,79.7,87,25,4.05,scattered clouds
279,Vanimo,PG,-2.6741,141.3028,77.7,86,100,3.13,overcast clouds
280,Aras,ES,42.5617,-2.356,88.21,31,0,4.61,clear sky
281,Sindgi,IN,16.9167,76.2333,76.53,80,100,13.51,overcast clouds
282,Howard Springs,AU,-12.497,131.047,62.51,96,98,5.19,overcast clouds
283,Oskemen,KZ,49.9565,82.6119,60.46,95,100,5.14,moderate rain
284,Narsaq,GL,60.9167,-46.05,52.68,75,16,9.73,few clouds
285,Arlit,NE,18.7369,7.3853,99.54,13,22,1.97,few clouds
286,Tynda,RU,55.1667,124.7167,57.61,97,14,1.77,few clouds
287,Shenjiamen,CN,29.9576,122.298,78.21,91,35,6.71,scattered clouds
288,Upernavik,GL,72.7868,-56.1549,46.58,93,100,12.75,light rain
289,Dalby,AU,-27.1833,151.2667,53.98,97,100,1.99,light rain
290,Gazimurskiy Zavod,RU,51.5461,118.3266,60.22,93,96,1.95,overcast clouds
291,Olafsvik,IS,64.8945,-23.7142,53.44,83,33,6.44,scattered clouds
292,Pangnirtung,CA,66.1451,-65.7125,43.75,93,100,1.99,light rain
293,Flin Flon,CA,54.7682,-101.865,64.24,68,75,19.57,broken clouds
294,Hay River,CA,60.8156,-115.7999,58.51,63,50,10.36,scattered clouds
295,Cidreira,BR,-30.1811,-50.2056,63.75,89,100,5.57,overcast clouds
296,Qaqortoq,GL,60.7167,-46.0333,50.31,77,9,4.7,clear sky
297,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.97,57,94,5.64,overcast clouds
298,Hualmay,PE,-11.0964,-77.6139,65.88,72,10,10.94,clear sky
299,Port Hawkesbury,CA,45.6169,-61.3485,85.89,57,18,5.99,few clouds
300,Mouila,GA,-1.8685,11.0559,78.85,65,100,4.97,overcast clouds
301,Portland,US,45.5234,-122.6762,83.77,56,20,5.75,few clouds
302,Alofi,NU,-19.0595,-169.9187,75.09,83,20,5.75,few clouds
303,Tupelo,US,34.2576,-88.7034,97.09,52,75,4.61,broken clouds
304,Inirida,CO,3.8653,-67.9239,79.84,91,90,3.2,overcast clouds
305,Dicabisagan,PH,17.0818,122.4157,79.97,87,18,1.59,few clouds
306,Coolum Beach,AU,-26.5333,153.1,63.1,96,100,18.37,light rain
307,Mitu,CO,1.1983,-70.1733,76.6,95,99,3.22,overcast clouds
308,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,100,75,2.24,broken clouds
309,Khorramshahr,IR,30.4397,48.1664,93.15,56,0,11.79,clear sky
310,Merauke,ID,-8.4667,140.3333,75.06,87,25,7.27,scattered clouds
311,Manaus,BR,-3.1019,-60.025,81.09,78,75,3.44,moderate rain
312,Avera,US,33.194,-82.5271,88.56,52,100,13.2,overcast clouds
313,Kyra,RU,49.5776,111.9753,61.65,89,100,3.15,light rain
314,Port Keats,AU,-14.25,129.55,64.87,34,7,7.81,clear sky
315,Lompoc,US,34.6391,-120.4579,93.02,66,0,19.57,clear sky
316,Atar,MR,20.5169,-13.0499,97.93,27,8,12.12,clear sky
317,Nizwa,OM,22.9333,57.5333,87.46,69,95,4.16,overcast clouds
318,Nantucket,US,41.2835,-70.0995,82.51,83,100,14.97,mist
319,Sibiti,CG,-3.6819,13.3499,74.37,63,68,3.62,broken clouds
320,Verkhnyaya Inta,RU,65.9811,60.3094,45.77,67,0,7.4,clear sky
321,Kalmunai,LK,7.4167,81.8167,78.24,87,100,7.02,overcast clouds
322,Sur,OM,22.5667,59.5289,86.77,71,66,12.15,broken clouds
323,Sakakah,SA,29.9697,40.2064,94.69,15,0,16.89,clear sky
324,Port Hardy,CA,50.6996,-127.4199,60.48,73,4,7.63,clear sky
325,Astoria,US,46.1879,-123.8313,64.44,74,100,8.05,overcast clouds
326,Bajil,YE,15.0584,43.2851,88.34,55,26,9.51,scattered clouds
327,Mecca,SA,21.4267,39.8261,88.97,50,53,2.1,broken clouds
328,Bella Union,UY,-30.2752,-57.6007,71.15,79,77,4.5,broken clouds
329,Basco,PH,20.4487,121.9702,85.48,77,10,13.56,clear sky
330,Bay Roberts,CA,47.5999,-53.2648,79.52,67,97,15.14,overcast clouds
331,Nouakchott,MR,18.0858,-15.9785,78.73,79,13,10.07,few clouds
332,Kindersley,CA,51.4668,-109.1682,80.96,31,4,18.01,clear sky
333,Castelo,BR,-20.6036,-41.1847,73.74,68,80,3.4,broken clouds
334,Ambrolauri,GE,42.5211,43.1622,64.72,99,100,2.28,overcast clouds
335,Barra Do Garcas,BR,-15.89,-52.2567,89.92,22,6,5.64,clear sky
336,Boa Vista,BR,2.8197,-60.6733,85.98,66,40,4.61,scattered clouds
337,Janauba,BR,-15.8025,-43.3089,82.47,22,5,8.72,clear sky
338,San Francisco De Macoris,DO,19.2952,-70.2554,83.08,58,17,11.48,few clouds
339,Fuerte Olimpo,PY,-21.0415,-57.8738,94.95,18,8,10.98,clear sky
