City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Wyszkow,PL,79.14,few clouds,52.5928,21.4584,PPUH Bias Sp. z. o. o.
201,Alugan,PH,81.18,overcast clouds,12.2188,125.4808,JM Lodge
202,Grimshaw,CA,71.78,broken clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
203,Imbituba,BR,74.86,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
206,Chapleau,CA,74.52,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
208,Port Blair,IN,79.41,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
209,Maiduguri,NG,82.98,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
210,Ciudad Del Maiz,MX,89.11,few clouds,22.4,-99.6,Hotel Casona del General
212,Port Moresby,PG,75.78,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
213,Kieta,PG,77.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
214,State College,US,89.26,scattered clouds,40.7934,-77.86,Hampton Inn State College
217,Bluefields,NI,84.42,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
219,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Lagoa,PT,72.77,overcast clouds,39.05,-27.9833,Casa Das Faias
223,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
225,Victoria,HK,86.18,clear sky,22.2855,114.1577,Mini Central
226,Istanbul,TR,74.62,clear sky,41.0351,28.9833,The Marmara Taksim
228,Norman Wells,CA,73.85,scattered clouds,65.282,-126.8329,Heritage Hotel
234,Rafraf,TN,80.91,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
237,Gazanjyk,TM,83.44,clear sky,39.2446,55.5154,Railway motel
238,Glossa,GR,80.1,clear sky,35.4717,23.7763,Elia Hotel & Spa
241,The Valley,AI,86.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
242,Tabatinga,BR,80.6,thunderstorm,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
245,Mucurapo,TT,85.24,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
248,Shihezi,CN,74.48,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
255,Sola,VU,80.22,broken clouds,-13.8833,167.55,Leumerus Bungalows
257,Loubomo,CG,70.48,scattered clouds,-4.1997,12.6739,La Dolisienne
260,Touros,BR,78.49,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
262,Nabire,ID,75.34,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
266,Mbandaka,CD,74.41,broken clouds,0.0487,18.2603,Guest House Epervier
270,Porbandar,IN,82.18,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
271,Surt,LY,79.57,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
272,Maple Creek,CA,84.92,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
274,Wolsztyn,PL,72.91,overcast clouds,52.1155,16.1171,Holiday Resort Jelonek
276,Porto Novo,BJ,75.45,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
277,Lixourion,GR,82.4,clear sky,38.2019,20.4314,Hotel Summery
278,Wanning,CN,79.7,scattered clouds,18.8003,110.3967,Paradise Hotel
279,Vanimo,PG,77.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
280,Aras,ES,88.21,clear sky,42.5617,-2.356,Jardines de Viana Spa
281,Sindgi,IN,76.53,overcast clouds,16.9167,76.2333,Sasabal
287,Shenjiamen,CN,78.21,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
299,Port Hawkesbury,CA,85.89,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
300,Mouila,GA,78.85,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
301,Portland,US,83.77,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
302,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
304,Inirida,CO,79.84,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
305,Dicabisagan,PH,79.97,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
311,Manaus,BR,81.09,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
317,Nizwa,OM,87.46,overcast clouds,22.9333,57.5333,Orient Apartments
318,Nantucket,US,82.51,mist,41.2835,-70.0995,Jared Coffin House
319,Sibiti,CG,74.37,broken clouds,-3.6819,13.3499,Gaby et confort
321,Kalmunai,LK,78.24,overcast clouds,7.4167,81.8167,VS Villa
322,Sur,OM,86.77,broken clouds,22.5667,59.5289,Sur Plaza Hotel
326,Bajil,YE,88.34,scattered clouds,15.0584,43.2851,فندق حضرموت
327,Mecca,SA,88.97,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
328,Bella Union,UY,71.15,broken clouds,-30.2752,-57.6007,Saville Free Shop
329,Basco,PH,85.48,clear sky,20.4487,121.9702,Nathaniel's Lodge
330,Bay Roberts,CA,79.52,overcast clouds,47.5999,-53.2648,Stonewall Inn
331,Nouakchott,MR,78.73,few clouds,18.0858,-15.9785,HOTEL IMAN
332,Kindersley,CA,80.96,clear sky,51.4668,-109.1682,Kindersley Inn
333,Castelo,BR,73.74,broken clouds,-20.6036,-41.1847,Pousada Lua & Sol
335,Barra Do Garcas,BR,89.92,clear sky,-15.89,-52.2567,Pousada Tropical
336,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
337,Janauba,BR,82.47,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
338,San Francisco De Macoris,DO,83.08,few clouds,19.2952,-70.2554,Hotel Las Caobas
342,Bubaque,GW,78.76,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
346,Terrasini,IT,84.22,clear sky,38.146,13.0844,Florio Park Hotel
352,Malakal,SS,72.46,overcast clouds,9.5334,31.6605,Nile Palace Hotel
353,Saint Anthony,US,87.3,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
355,Kanigiri,IN,86.09,overcast clouds,15.4,79.5167,COMFORT INN
357,Grand-Bourg,GP,85.95,clear sky,15.8835,-61.3148,Coco Beach Resort
358,Itaituba,BR,83.95,overcast clouds,-4.2761,-55.9836,Hotel Campos
